"LBXHGL.Code.or.Value","LBXHGL.Value.Description","LBXHGL.Count","LBXHGL.Cumulative","LBXHGL.Skip.to.Item"
"29 to 465","Range of Values",4182,4182,NA
".","Missing",1461,5643,NA
