"MCQ260DD.Code.or.Value","MCQ260DD.Value.Description","MCQ260DD.Count","MCQ260DD.Cumulative","MCQ260DD.Skip.to.Item"
"4","Mother's father",129,129,"MCQ250E"
".","Missing",9364,9493,""
