"LBDBR2LC.Code.or.Value","LBDBR2LC.Value.Description","LBDBR2LC.Count","LBDBR2LC.Cumulative","LBDBR2LC.Skip.to.Item"
"0","At or above the detection limit",231,231,NA
"1","Below lower detection limit",34,265,NA
".","Missing",0,265,NA
