"MCQ150Q.Code.or.Value","MCQ150Q.Value.Description","MCQ150Q.Count","MCQ150Q.Cumulative","MCQ150Q.Skip.to.Item"
"0 to 100","Range of Values",2364,2364,NA
"77777","Refused",0,2364,NA
"99999","Don't know",3,2367,NA
".","Missing",7299,9666,NA
