"RFXC104.Code.or.Value","RFXC104.Value.Description","RFXC104.Count","RFXC104.Cumulative","RFXC104.Skip.to.Item"
"-7.379 to 5.139","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
