"SXQ200.Code.or.Value","SXQ200.Value.Description","SXQ200.Count","SXQ200.Cumulative","SXQ200.Skip.to.Item"
"0 to 500","Range of Values",1216,1216,NA
"77777","Refused",2,1218,NA
"99999","Don't know",1,1219,NA
".","Missing",1773,2992,NA
