"URXOXS.Code.or.Value","URXOXS.Value.Description","URXOXS.Count","URXOXS.Cumulative","URXOXS.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2540,2540,NA
".","Missing",154,2694,NA
