"WTSBA19.Code.or.Value","WTSBA19.Value.Description","WTSBA19.Count","WTSBA19.Cumulative","WTSBA19.Skip.to.Item"
"0 to 361319.11587","Range of Values",946,946,NA
".","Missing",65,1011,NA
