"VTQ200G.Code.or.Value","VTQ200G.Value.Description","VTQ200G.Count","VTQ200G.Cumulative","VTQ200G.Skip.to.Item"
"1","Yes",74,74,NA
"2","No",572,646,NA
"7","Refused",0,646,NA
"9","Don't know",2,648,NA
".","Missing",203,851,NA
