"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"25 to 100","Range of Values",11,11,NA
"666","No response",0,11,NA
"888","Could not obtain",1,12,NA
".","Missing",3119,3131,NA
