"WTSBA37.Code.or.Value","WTSBA37.Value.Description","WTSBA37.Count","WTSBA37.Cumulative","WTSBA37.Skip.to.Item"
"0 to 349655.47352","Range of Values",946,946,NA
".","Missing",65,1011,NA
