"SSQ021B.Code.or.Value","SSQ021B.Value.Description","SSQ021B.Count","SSQ021B.Cumulative","SSQ021B.Skip.to.Item"
"11","Daughter",1007,1007,NA
".","Missing",3018,4025,NA
