"OCQ330c.Code.or.Value","OCQ330c.Value.Description","OCQ330c.Count","OCQ330c.Cumulative","OCQ330c.Skip.to.Item"
"3","Vinyl,",75,75,NA
".","Missing",7220,7295,NA
