"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","At or above the detection limit",199,199,NA
"1","Below lower detection limit",86,285,NA
".","Missing",16,301,NA
