"DXXPT24Y.Code.or.Value","DXXPT24Y.Value.Description","DXXPT24Y.Count","DXXPT24Y.Cumulative","DXXPT24Y.Skip.to.Item"
"173.8 to 412.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
