"MCQ170l.Code.or.Value","MCQ170l.Value.Description","MCQ170l.Count","MCQ170l.Cumulative","MCQ170l.Skip.to.Item"
"1","Yes",162,162,NA
"2","No",106,268,NA
"7","Refused",0,268,NA
"9","Don't know",26,294,NA
".","Missing",8603,8897,NA
