"URXPPB.Code.or.Value","URXPPB.Value.Description","URXPPB.Count","URXPPB.Cumulative","URXPPB.Skip.to.Item"
"0.07 to 6399.6","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
