"LBCODT.Code.or.Value","LBCODT.Value.Description","LBCODT.Count","LBCODT.Cumulative","LBCODT.Skip.to.Item"
"0.0043 to 0.0973","Range of Values",264,264,NA
".","Missing",0,264,NA
