"WTSPP23.Code.or.Value","WTSPP23.Value.Description","WTSPP23.Count","WTSPP23.Cumulative","WTSPP23.Skip.to.Item"
"0 to 837820.12839","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
