"LBXIM3.Code.or.Value","LBXIM3.Value.Description","LBXIM3.Count","LBXIM3.Cumulative","LBXIM3.Skip.to.Item"
"0.25 to 62.3","Range of Values",7376,7376,NA
".","Missing",2064,9440,NA
