"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"699.3 to 1233.3","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
