"OPDDAVN.Code.or.Value","OPDDAVN.Value.Description","OPDDAVN.Count","OPDDAVN.Cumulative","OPDDAVN.Skip.to.Item"
"0","No",2597,2597,NA
"1","Questionable",412,3009,NA
"2","Yes",213,3222,NA
".","Missing",641,3863,NA
