"LBXNFOA.Code.or.Value","LBXNFOA.Value.Description","LBXNFOA.Count","LBXNFOA.Cumulative","LBXNFOA.Skip.to.Item"
"0.07 to 52.8","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
