"DX2STPFC.Code.or.Value","DX2STPFC.Value.Description","DX2STPFC.Count","DX2STPFC.Cumulative","DX2STPFC.Skip.to.Item"
"0","Valid data",415,415,NA
"1","Invalid data",64,479,NA
".","Missing",6,485,NA
