"RFXC152.Code.or.Value","RFXC152.Value.Description","RFXC152.Count","RFXC152.Cumulative","RFXC152.Skip.to.Item"
"-6.653 to 5.927","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
