"CDQ030.Code.or.Value","CDQ030.Value.Description","CDQ030.Count","CDQ030.Cumulative","CDQ030.Skip.to.Item"
"1","Yes",363,363,NA
"2","No",177,540,NA
"7","Refused",0,540,NA
"9","Don't know",1,541,NA
".","Missing",2644,3185,NA
