"WBXA070.Code.or.Value","WBXA070.Value.Description","WBXA070.Count","WBXA070.Cumulative","WBXA070.Skip.to.Item"
"-0.2697 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
