"AUDTYL44.Code.or.Value","AUDTYL44.Value.Description","AUDTYL44.Count","AUDTYL44.Cumulative","AUDTYL44.Skip.to.Item"
"0 to 3.97","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
