"BPQ110A.Code.or.Value","BPQ110A.Value.Description","BPQ110A.Count","BPQ110A.Cumulative","BPQ110A.Skip.to.Item"
"1","Yes",1178,1178,NA
"2","No",2528,3706,NA
"7","Refused",3,3709,NA
"9","Don't know",2,3711,NA
".","Missing",2333,6044,NA
