"BIXS304K.Code.or.Value","BIXS304K.Value.Description","BIXS304K.Count","BIXS304K.Cumulative","BIXS304K.Skip.to.Item"
"186.28 to 843.93","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
