"AUQ500.Code.or.Value","AUQ500.Value.Description","AUQ500.Count","AUQ500.Cumulative","AUQ500.Skip.to.Item"
"1","Yes",147,147,NA
"2","No",133,280,NA
"7","Refused",0,280,NA
"9","Don't know",2,282,NA
".","Missing",8615,8897,NA
