"DSDRN1LC.Code.or.Value","DSDRN1LC.Value.Description","DSDRN1LC.Count","DSDRN1LC.Cumulative","DSDRN1LC.Skip.to.Item"
"0","At or above the detection limit",1916,1916,NA
"1","Below lower detection limit",5041,6957,NA
".","Missing",2483,9440,NA
