"PFD069pU.Code.or.Value","PFD069pU.Value.Description","PFD069pU.Count","PFD069pU.Cumulative","PFD069pU.Skip.to.Item"
"1","Days",1,1,NA
"2","Weeks",2,3,NA
"3","Months",12,15,NA
"4","Years",168,183,NA
"7","Refused",0,183,NA
"9","Don't know",0,183,NA
".","Missing",9310,9493,NA
