"LBXARA.Code.or.Value","LBXARA.Value.Description","LBXARA.Count","LBXARA.Cumulative","LBXARA.Skip.to.Item"
"187 to 2670","Range of Values",4418,4418,NA
".","Missing",1225,5643,NA
