"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"150.3 to 9158","Range of Values",4052,4052,NA
".","Missing",1062,5114,NA
