"DXXAL1.Code.or.Value","DXXAL1.Value.Description","DXXAL1.Count","DXXAL1.Cumulative","DXXAL1.Skip.to.Item"
"0 to 3","Range of Values",3236,3236,NA
".","Missing",472,3708,NA
