"PAXFTIME.Code.or.Value","PAXFTIME.Value.Description","PAXFTIME.Count","PAXFTIME.Cumulative","PAXFTIME.Skip.to.Item"
"First data timestamp in GT3X (HH:MM:SS)","Value was recorded",7776,7776,NA
"< blank >","Missing",1137,8913,NA
