"FSD860.Code.or.Value","FSD860.Value.Description","FSD860.Count","FSD860.Cumulative","FSD860.Skip.to.Item"
"0 to 35","Range of Values",63,63,NA
"77777","Refused",0,63,NA
"99999","Don't know",31,94,NA
".","Missing",9160,9254,NA
