"MCQ240s.Code.or.Value","MCQ240s.Value.Description","MCQ240s.Count","MCQ240s.Cumulative","MCQ240s.Skip.to.Item"
"18 to 74","Range of Values",21,21,NA
"80","80 years or older",0,21,NA
"77777","Refused",0,21,NA
"99999","Don't know",0,21,NA
".","Missing",9554,9575,NA
