"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"7 to 2868","Range of Values",9508,9508,NA
".","Missing",305,9813,NA
