"DEQ2IASH.Code.or.Value","DEQ2IASH.Value.Description","DEQ2IASH.Count","DEQ2IASH.Cumulative","DEQ2IASH.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
