"MCQ260DG.Code.or.Value","MCQ260DG.Value.Description","MCQ260DG.Count","MCQ260DG.Cumulative","MCQ260DG.Skip.to.Item"
"7","Brother",163,163,"MCQ250E"
".","Missing",9330,9493,""
