"WTIREP29.Code.or.Value","WTIREP29.Value.Description","WTIREP29.Count","WTIREP29.Cumulative","WTIREP29.Skip.to.Item"
"0 to 237716.20458","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
