"DX2LRBMC.Code.or.Value","DX2LRBMC.Value.Description","DX2LRBMC.Count","DX2LRBMC.Cumulative","DX2LRBMC.Skip.to.Item"
"37.75 to 148.6","Range of Values",443,443,NA
".","Missing",42,485,NA
