"UR2UCR.Code.or.Value","UR2UCR.Value.Description","UR2UCR.Count","UR2UCR.Cumulative","UR2UCR.Skip.to.Item"
"11 to 554","Range of Values",549,549,NA
".","Missing",6,555,NA
