"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"72 to 484","Range of Values",6048,6048,NA
"7777","Refused",9,6057,NA
"9999","Don't know",104,6161,NA
".","Missing",0,6161,NA
