"DXXL2TBS.Code.or.Value","DXXL2TBS.Value.Description","DXXL2TBS.Count","DXXL2TBS.Cumulative","DXXL2TBS.Skip.to.Item"
"0.69 to 1.782","Range of Values",4589,4589,NA
".","Missing",3145,7734,NA
