"URXMU3.Code.or.Value","URXMU3.Value.Description","URXMU3.Count","URXMU3.Cumulative","URXMU3.Skip.to.Item"
"0.028 to 576","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
