"WTSPH17.Code.or.Value","WTSPH17.Value.Description","WTSPH17.Count","WTSPH17.Cumulative","WTSPH17.Skip.to.Item"
"0 to 770860.4819","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
