"WHQ020L.Code.or.Value","WHQ020L.Value.Description","WHQ020L.Count","WHQ020L.Cumulative","WHQ020L.Skip.to.Item"
"35 to 420","Range of Values",7386,7386,NA
"77777","Refused",0,7386,NA
"99999","Don't know",0,7386,NA
".","Missing",1446,8832,NA
