"CBD720.Code.or.Value","CBD720.Value.Description","CBD720.Count","CBD720.Cumulative","CBD720.Skip.to.Item"
"1","Always",462,462,NA
"2","Most of the time",458,920,NA
"3","Sometimes",594,1514,NA
"4","Rarely",379,1893,NA
"5","Never",253,2146,NA
"6","Never buy these items",97,2243,NA
"7","Refused",0,2243,NA
"9","Don't know",0,2243,NA
".","Missing",702,2945,NA
