"PFD069J.Code.or.Value","PFD069J.Value.Description","PFD069J.Count","PFD069J.Cumulative","PFD069J.Skip.to.Item"
"10 to 24837","Range of Values",351,351,NA
"66666","Since birth",1,352,NA
"77777","Refused",1,353,NA
"99999","Don't know",10,363,NA
".","Missing",9303,9666,NA
