"TYXP106.Code.or.Value","TYXP106.Value.Description","TYXP106.Count","TYXP106.Cumulative","TYXP106.Skip.to.Item"
"-281 to 144","Range of Values",5539,5539,NA
".","Missing",46,5585,NA
