"OCQ275.Code.or.Value","OCQ275.Value.Description","OCQ275.Count","OCQ275.Cumulative","OCQ275.Skip.to.Item"
"1","Yes",444,444,NA
"2","No",2640,3084,NA
"7","Refused",2,3086,NA
"9","Don't know",1,3087,NA
".","Missing",3088,6175,NA
