"ARQ022F.Code.or.Value","ARQ022F.Value.Description","ARQ022F.Count","ARQ022F.Cumulative","ARQ022F.Skip.to.Item"
"0 to 68","Range of Values",241,241,NA
"777","Refused",0,241,NA
"999","Don't know",4,245,NA
".","Missing",4861,5106,NA
