"AUXLR144.Code.or.Value","AUXLR144.Value.Description","AUXLR144.Count","AUXLR144.Cumulative","AUXLR144.Skip.to.Item"
"-25 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
