"URDBUPLC.Code.or.Value","URDBUPLC.Value.Description","URDBUPLC.Count","URDBUPLC.Cumulative","URDBUPLC.Skip.to.Item"
"0","At or above the detection limit",644,644,NA
"1","Below lower detection limit",2007,2651,NA
".","Missing",152,2803,NA
