"CSQ090C.Code.or.Value","CSQ090C.Value.Description","CSQ090C.Count","CSQ090C.Cumulative","CSQ090C.Skip.to.Item"
"1","Better",211,211,NA
"2","Worse",137,348,NA
"3","No Change",3458,3806,NA
"7","Refused",0,3806,NA
"9","Don't know",9,3815,NA
".","Missing",0,3815,NA
