"LB2SIRSI.Code.or.Value","LB2SIRSI.Value.Description","LB2SIRSI.Count","LB2SIRSI.Cumulative","LB2SIRSI.Skip.to.Item"
"1.97 to 42.98","Range of Values",544,544,NA
".","Missing",2,546,NA
