"RFXT072.Code.or.Value","RFXT072.Value.Description","RFXT072.Count","RFXT072.Cumulative","RFXT072.Skip.to.Item"
"619 to 628","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
