"BMAEXLEN.Code.or.Value","BMAEXLEN.Value.Description","BMAEXLEN.Count","BMAEXLEN.Cumulative","BMAEXLEN.Skip.to.Item"
"0 to 909","Range of Values",9282,9282,NA
".","Missing",0,9282,NA
