"SSPM1_N.Code.or.Value","SSPM1_N.Value.Description","SSPM1_N.Count","SSPM1_N.Cumulative","SSPM1_N.Skip.to.Item"
"1250 to 17800","Range of Values",1760,1760,NA
".","Missing",18,1778,NA
