"DS2TZINC.Code.or.Value","DS2TZINC.Value.Description","DS2TZINC.Count","DS2TZINC.Cumulative","DS2TZINC.Skip.to.Item"
"0.02 to 120","Range of Values",1283,1283,NA
".","Missing",7421,8704,NA
