"ENQ010.Code.or.Value","ENQ010.Value.Description","ENQ010.Count","ENQ010.Cumulative","ENQ010.Skip.to.Item"
"1","Yes",41,41,"SPAENA"
"2","No",7152,7193,""
"7","Refused",0,7193,"SPAENA"
"9","Don't know",0,7193,"SPAENA"
".","Missing",302,7495,""
